 Increment		eps_a 		varj2 		sqrt(varj2)
           1  -9.9999999999999308E-003   149.99999999999855        12.247448713915832     
           2  -1.9999999999999862E-002   599.99999999999420        24.494897427831663     
           3  -2.9999999999999798E-002   1349.9999999999870        36.742346141747497     
           4  -3.9999999999999723E-002   2399.9999999999768        48.989794855663327     
           5  -4.9999999999999656E-002   3749.9999999999636        61.237243569579157     
           6  -5.9999999999999581E-002   5399.9999999999472        73.484692283494979     
           7  -6.9999999999999507E-002   7349.9999999999291        85.732140997410824     
           8  -7.9999999999999447E-002   9599.9999999999072        97.979589711326653     
           9  -8.9999999999999372E-002   12149.999999999884        110.22703842524248     
          10  -9.9999999999999312E-002   14999.999999999856        122.47448713915831     
          11 -0.10999999999999925        18149.999999999825        134.72193585307414     
          12 -0.11999999999999919        21599.999999999789        146.96938456698996     
          13 -0.12999999999999912        25349.999999999760        159.21683328090583     
          14 -0.13999999999999907        29399.999999999716        171.46428199482165     
          15 -0.14999999999999900        33749.999999999680        183.71173070873749     
          16 -0.15999999999999895        38399.999999999636        195.95917942265331     
          17 -0.16999999999999887        43349.999999999585        208.20662813656915     
          18 -0.17999999999999883        48599.999999999534        220.45407685048497     
          19 -0.18999999999999875        54149.999999999483        232.70152556440081     
          20 -0.19999999999999871        59999.999999999425        244.94897427831663     
 Increment		eps_a 		varj2 		sqrt(varj2)
           1 -0.15513634465478943        73445.481618326361        271.00826854235714     
           2 -0.11029331772825482        90376.395595761875        300.62667146439600     
           3  -6.6368746383553348E-002   110348.80981936486        332.18791341553180     
           4  -2.7339685940885938E-002   111124.79804822624        333.35386310679860     
           5   1.3202542857143775E-002   112654.20184679986        335.63998845012475     
           6   5.5055367980555450E-002   114015.86534179471        337.66235404882599     
           7   9.7934606902069316E-002   115220.13328013312        339.44091279651769     
           8  0.14164561402961576        116330.99700095711        341.07330150710584     
           9  0.18607320221709156        117386.27779915513        342.61680898513305     
          10  0.23113753645903931        118395.77354010775        344.08686917711310     
          11  0.27677417591753967        119355.34665047504        345.47843152717223     
          12  0.32294249921421592        120257.77855550167        346.78203320746258     
          13  0.36963061717574286        121089.83823419451        347.97965204045266     
          14  0.41688465368335093        121850.69223788117        349.07118505812133     
          15  0.46476882051798041        122548.08574436135        350.06868718061793     
          16  0.51335775397659167        123186.58612804030        350.97946681827460     
          17  0.56276182802879005        123740.47952119749        351.76764990714747     
          18  0.61321737430702683        124335.09847080079        352.61182406550233     
          19  0.66477929699855520        124942.17767842392        353.47160802308287     
          20  0.71744619629560080        125571.35257589196        354.36048393675605     
          21  0.77121989917048628        126210.48699135413        355.26115322584053     
          22  0.82609656737163917        126847.18904048711        356.15613014587734     
          23  0.88205392974541241        127491.55423040396        357.05959478832654     
          24  0.93911490072938997        128138.03705853003        357.96373707196938     
          25  0.99728212058789589        128763.19117481982        358.83588334337441     
          26   1.0565831415185754        129380.32396618098        359.69476499690813     
          27   1.1171034186281770        130021.23558909382        360.58457480748370     
          28   1.1788579565048649        130683.96818250483        361.50237645485100     
          29   1.2418244690708595        131360.36712597113        362.43670775181027     
          30   1.3059760537365632        132036.98519812294        363.36893813054928     
          31   1.3713230797890943        132697.03321062992        364.27603985251341     
          32   1.4379235192275810        133368.60499112683        365.19666618293058     
          33   1.5057655221224182        134064.56370769851        366.14828103884156     
          34   1.5748521299750029        134750.73720156890        367.08410099263205     
          35   1.6451865032798445        135444.19153345429        368.02743312619276     
          36   1.7168065655119202        136147.48902962563        368.98169199788981     
          37   1.7897219275964988        136859.47378749002        369.94523079435692     
          38   1.8639562314778617        137589.18699685441        370.93016458203340     
          39   1.9393743874743736        138300.03929061428        371.88713246173802     
          40   2.0161249850865226        139028.25050332199        372.86492259707398     
          41   2.0941589826460101        139742.18347175233        373.82105809030116     
          42   2.1734192155357821        140471.16730570764        374.79483361661704     
          43   2.2540556948961328        141215.33068760269        375.78628326164687     
          44   2.3360698297923252        142005.08111325320        376.83561550529322     
          45   2.4199874099277063        142861.52906311498        377.97027536979016     
          46   2.5043764625869014        143749.39947690061        379.14298025533930     
          47   2.5899335615896386        144480.66145584607        380.10611867720053     
          48   2.6767161465248144        145192.87600523280        381.04182973163563     
          49   2.7646296508680455        145980.40866760505        382.07382620065073     
          50   2.8539039964601347        146741.05877925220        383.06795582409683     
          51   2.9443515320480675        147491.29828328863        384.04595855611944     
          52   3.0360808115383211        148267.57928309473        385.05529379959802     
          53   3.1290355006390138        149050.29161921295        386.07031952639528     
          54   3.2229033077295126        149706.73063837198        386.91954026434485     
          55   3.3180247720319653        150455.90453396598        387.88645830186698     
          56   3.4143171415082691        151185.64792057048        388.82598668372265     
          57   3.5118025248880453        151964.72357056741        389.82653010097636     
          58   3.6104491423884557        152749.94220371591        390.83237097727192     
          59   3.7102207350264718        153532.89014216186        391.83273235165268     
          60   3.8111170794618747        154322.47571596137        392.83899464788544     
          61   3.9131274442621837        155117.19542032547        393.84920390972667     
          62   4.0162330768501855        155914.44732297858        394.86003510481862     
          63   4.1204151613141571        156712.42209449245        395.86919821387016     
          64   4.2256574722689813        157511.09031436295        396.87666889647591     
          65   4.3319414917900572        158308.39920987320        397.87988037832878     
          66   4.4392506503994582        159105.64026323534        398.88048368306431     
          67   4.5475660907706574        159902.36222949775        399.87793416178613     
          68   4.6568686160707760        160697.07982884030        400.87040278479066     
          69   4.7671413375958860        161490.46907470399        401.85876757227032     
          70   4.8783646345083600        162281.32914433925        402.84156829247308     
          71   4.9905249549638935        163071.30308682320        403.82087995400042     
          72   5.1036019849853771        163861.08612768669        404.79758661297217     
          73   5.2175777938388883        164648.17233590025        405.76861921038233     
          74   5.3324327069199633        165431.96627108002        406.73328640655910     
          75   5.4481484600410477        166212.00882832980        407.69107033185043     
          76   5.5647077105996567        166989.87161859471        408.64394234907570     
          77   5.6820948859521438        167763.50123402299        409.58943008093235     
          78   5.8002918216469173        168532.84487151922        410.52752023648696     
          79   5.9192765122438278        169298.25245562574        411.45868863790656     
          80   6.0390359738514983        170059.36154560494        412.38254272653802     
          81   6.1595522374587146        170818.02944629866        413.30137847132647     
          82   6.2808276742566935        171563.35173537361        414.20206630987923     
          83   6.4028313823157736        172304.07107607409        415.09525542467247     
          84   6.5255381491976294        173037.04566543415        415.97721772404094     
          85   6.6489297374456839        173762.49759980055        416.84829086827324     
          86   6.7729859874445353        174480.51296630228        417.70864602770945     
          87   6.8976904022804177        175191.17475088392        418.55844842851269     
          88   7.0230245689568500        175894.47635538279        419.39775435185965     
          89   7.1489690279985005        176590.07046272254        420.22621344071638     
          90   7.2755075853304634        177278.21223522138        421.04419273423235     
          91   7.4026228715356801        177958.78466636967        421.85161451198650     
          92   7.5302276068660374        178642.44819014423        422.66115055697304     
          93   7.6583875732075075        179313.04362104993        423.45370894709367     
          94   7.7870953047580391        179970.61866211356        424.22944106003951     
          95   7.9162125557534466        180605.08928181845        424.97657498010221     
          96   8.0458536165895325        181236.51243673186        425.71881851373666     
