 Increment		eps_a 		varj2 		sqrt(varj2)
           1  -5.0000000000000669E-003   37.500000000000831        6.1237243569580135     
           2  -1.0000000000000134E-002   150.00000000000333        12.247448713916027     
           3  -1.5000000000000202E-002   337.50000000000745        18.371173070874040     
           4  -2.0000000000000268E-002   600.00000000001330        24.494897427832054     
           5  -2.5000000000000338E-002   937.50000000002092        30.618621784790069     
           6  -3.0000000000000405E-002   1350.0000000000300        36.742346141748079     
           7  -3.5000000000000468E-002   1837.5000000000409        42.866070498706094     
           8  -4.0000000000000535E-002   2400.0000000000532        48.989794855664108     
           9  -4.5000000000000609E-002   3037.5000000000673        55.113519212622116     
          10  -5.0000000000000676E-002   3750.0000000000828        61.237243569580130     
          11  -5.5000000000000743E-002   4537.5000000001000        67.360967926538137     
          12  -6.0000000000000810E-002   5400.0000000001191        73.484692283496159     
          13  -6.5000000000000877E-002   6337.5000000001392        79.608416640454166     
          14  -7.0000000000000936E-002   7350.0000000001619        85.732140997412174     
          15  -7.5000000000001010E-002   8437.5000000001837        91.855865354370181     
          16  -8.0000000000001070E-002   9600.0000000002092        97.979589711328188     
          17  -8.5000000000001144E-002   10837.500000000235        104.10331406828620     
          18  -9.0000000000001218E-002   12150.000000000264        110.22703842524422     
          19  -9.5000000000001278E-002   13537.500000000293        116.35076278220222     
          20 -0.10000000000000135        15000.000000000324        122.47448713916023     
 Increment		eps_a 		varj2 		sqrt(varj2)
           1   7.2617956783692192E-002   13712.534368926024        117.10053103605476     
           2  0.29314787994810065        26053.682601347075        161.41153181029873     
           3  0.50038970456605469        23129.006271410926        152.08223522624505     
           4  0.72558354321536334        28582.379475148315        169.06324105241896     
           5  0.96430269835497184        33094.288077480451        181.91835552653959     
           6   1.2158425780405979        38710.510750347174        196.74986848876716     
           7   1.4726168103709245        39224.364479487078        198.05141877675877     
           8   1.7414302806094124        39116.553189242426        197.77905144186133     
           9   2.0206056800478613        38827.086088604054        197.04589843131487     
          10   2.3134517146346902        38440.921613550548        196.06356523727337     
          11   2.6202827438828078        38056.175517062249        195.07992084543773     
          12   2.9415045488360181        37593.267587318041        193.88983363579959     
          13   3.2784580369896843        37213.491870191363        192.90798809326523     
          14   3.6324361713517987        37005.439756620821        192.36798007106282     
          15   4.0051115956835108        36970.561803705903        192.27730444258341     
          16   4.3983118300935073        37191.146345945752        192.85006182510222     
          17   4.8136290683874252        37716.044796352886        194.20619144701047     
          18   5.2505339022876507        38242.862528451151        195.55782400213792     
          19   5.7074065687140330        38799.412186055466        196.97566394368485     
          20   6.1831801849613965        39309.898006381001        198.26723886305825     
